iso3c,forests_2000,forests_2020,y_true,y_pred,residual
LBN,13.5,14.0,3.7,0.20850000000000005,-3.4915000000000003
BHR,0.5,0.9,80.0,-0.3821250000000001,-80.382125
TKL,0.0,0.0,-2.35,-1.6980000000000044,0.6519999999999957
MLI,10.9,10.9,0.0,0.029999999999999995,0.029999999999999995
AIA,61.1,61.1,0.0,-2.9927500000000014,-2.9927500000000014
MDA,10.5,11.8,12.4,0.4397499999999999,-11.96025
ARM,11.7,11.5,-1.7,0.1065,1.8065
ARE,4.4,4.5,2.3,0.07600000000000001,-2.2239999999999998
KGZ,6.2,6.9,11.3,-0.14550000000000002,-11.445500000000001
UKR,16.4,16.7,1.8,-0.25350000000000006,-2.0535
WSM,60.5,57.1,-5.6,-4.360750000000015,1.239249999999985
MNE,46.5,61.5,32.3,5.171999999999993,-27.128000000000004
BRN,75.3,72.1,-4.2,-0.3162500000000005,3.8837499999999996
SVN,61.2,61.5,0.5,-2.9705,-3.4705
LAO,75.5,71.9,-4.8,-0.6942499999999993,4.1057500000000005
COD,63.5,55.6,-12.4,-7.859750000000009,4.5402499999999915
BOL,50.9,46.9,-7.9,-0.85225,7.047750000000001
CHE,30.3,32.1,5.9,3.7087499999999993,-2.191250000000001
GTM,39.3,32.9,-16.3,-1.4159999999999968,14.884000000000004
BEL,22.0,22.8,3.6,-1.055,-4.655
SYR,2.4,2.8,16.7,0.0345,-16.665499999999998
LTU,32.2,35.1,9.0,1.2357499999999997,-7.7642500000000005
MMR,53.4,43.7,-18.2,-6.56450000000002,11.635499999999979
YEM,1.0,1.0,0.0,-0.577625,-0.577625
ABW,2.3,2.3,0.0,0.0345,0.0345
TUV,33.3,33.3,0.0,0.6397500000000007,0.6397500000000007
ROU,27.7,30.1,8.7,4.203499999999997,-4.496500000000002
KEN,7.0,6.3,-10.0,-0.4307499999999999,9.56925
GAB,92.0,91.3,-0.8,-0.4622499999999989,0.33775000000000116
BES,5.9,5.9,0.0,-0.24700000000000003,-0.24700000000000003
MYS,59.9,58.2,-2.8,-3.4532500000000113,-0.6532500000000114
SAU,0.5,0.5,0.0,-0.60875,-0.60875
ZMB,63.3,60.3,-4.7,-3.9532500000000077,0.7467499999999925
BLR,40.8,43.2,5.9,1.144750000000001,-4.755249999999999
FLK,0.0,0.0,-3.95,-1.6980000000000044,2.251999999999996
ECU,55.3,50.3,-9.0,-5.30475000000002,3.69524999999998
NIC,44.9,28.3,-37.0,-5.590250000000008,31.409749999999992
SWE,69.1,68.7,-0.6,-0.3462500000000002,0.25374999999999975
LVA,52.1,54.8,5.2,3.1694999999999967,-2.0305000000000035
GUF,97.7,96.6,-1.1,-0.7207499999999984,0.37925000000000164
GRL,0.0,0.0,4.3,-1.6980000000000044,-5.998000000000005
COG,65.0,64.3,-1.1,-1.5469999999999988,-0.44699999999999873
BGD,14.8,14.5,-2.0,-0.17075000000000007,1.82925
HND,60.6,56.8,-6.3,-4.878750000000013,1.4212499999999872
SEN,46.0,41.9,-8.9,-0.753,8.147
PRI,48.4,56.0,15.7,4.200999999999989,-11.49900000000001
CYM,53.9,53.0,-1.7,-4.067500000000009,-2.3675000000000086
MLT,1.1,1.4,27.3,-0.022499999999999992,-27.3225
